53423.2338 16.5   0.105
53426.7904 16.5   0.102
53472.6047 16.5   0.100
53831.3574 16.6   0.154
53919.1182 16.5   0.128
53920.0546 16.5   0.134
54398.0137 16.5   0.125
54405.9037 16.5   0.131
54578.3817 16.5   0.106
54686.1099 16.5   0.100
55075.5930 16.5   0.117
55348.8618 16.5   0.100
55866.4410 16.5   0.105
56261.9361 16.5   0.106
56641.5598 16.5   0.108
56870.1594 16.4   0.107
57082.0868 16.4   0.147
57085.5108 16.5   0.138
57237.4220 16.5   0.088
58028.8426 16.5   0.092
58883.5155 16.4   0.110
59158.2000 16.4   0.094
