54021.7254  13.154   0.042
54025.0654  13.597   0.047
54027.1784  13.838   0.050
54029.1220  14.086   0.052
54033.0673  14.729   0.094
54040.2442  15.489   0.073
54044.3317  15.741   0.081
54048.0922  16.042   0.092
54052.8233  16.488   0.090
54056.6430  16.482   0.088
54060.5277  16.699   0.140
54063.5726  16.725   0.090
54067.0437  16.836   0.092
54071.0567  17.182   0.101
54079.6371  17.878   0.130
54085.1545  18.164   0.136
54089.4225  18.697   0.188
54093.5447  19.112   0.208
54097.3040    NULL    NULL
54101.5569  19.844   0.383
54106.5737  20.052   0.387
54115.6938    NULL    NULL
54121.8710    NULL    NULL
54126.6942    NULL    NULL
54129.3121    NULL    NULL
54131.4736    NULL    NULL
54132.0580    NULL    NULL
54134.1683    NULL    NULL
54136.8757    NULL    NULL
54139.4876    NULL    NULL
54144.2661    NULL    NULL
54146.7402    NULL    NULL
54149.7257    NULL    NULL
54153.7087    NULL    NULL
54186.2733    NULL    NULL
